category,location_type,context,outcome_status,persistent_id,id,location_subtype,month,location.latitude,location.street.id,location.street.name,location.longitude,outcome_status.category,outcome_status.date
anti-social-behaviour,Force,,,,115402529,,2023-12,52.631193,1738645,On or near Calais Hill,-1.128220,,
anti-social-behaviour,Force,,,,115402615,,2023-12,52.634503,1737385,On or near Kate Street,-1.149403,,
anti-social-behaviour,Force,,,,115402210,,2023-12,52.634995,1737585,On or near Richard Iii Road,-1.144030,,
anti-social-behaviour,Force,,,,115402207,,2023-12,52.634995,1737585,On or near Richard Iii Road,-1.144030,,
anti-social-behaviour,Force,,,,115403336,,2023-12,52.636041,1738351,On or near East Gates,-1.133444,,
anti-social-behaviour,Force,,,,115403117,,2023-12,52.635528,1738700,On or near Theatre/concert Hall,-1.127553,,
anti-social-behaviour,Force,,,,115403014,,2023-12,52.638358,1738578,On or near Parking Area,-1.129437,,
anti-social-behaviour,Force,,,,115402996,,2023-12,52.634252,1738481,On or near Granby Place,-1.130997,,
anti-social-behaviour,Force,,,,115403458,,2023-12,52.628379,1739269,On or near Medway Street,-1.114832,,
anti-social-behaviour,Force,,,,115403052,,2023-12,52.636054,1738679,On or near Vestry Street,-1.127784,,
anti-social-behaviour,Force,,,,115402375,,2023-12,52.636041,1738351,On or near East Gates,-1.133444,,
anti-social-behaviour,Force,,,,115402177,,2023-12,52.625500,1738603,On or near Lancaster Road,-1.127802,,
anti-social-behaviour,Force,,,,115402166,,2023-12,52.630202,1737556,On or near Ruding Road,-1.147639,,
anti-social-behaviour,Force,,,,115402947,,2023-12,52.638538,1737412,On or near Paget Road,-1.150403,,
anti-social-behaviour,Force,,,,115402169,,2023-12,52.635488,1738121,On or near Carts Lane,-1.136395,,
anti-social-behaviour,Force,,,,115402657,,2023-12,52.636623,1737784,On or near Ruding Street,-1.142978,,
anti-social-behaviour,Force,,,,115402543,,2023-12,52.631876,1739078,On or near Moon Close,-1.119593,,
anti-social-behaviour,Force,,,,115402145,,2023-12,52.635559,1738487,On or near Shopping Area,-1.131414,,
anti-social-behaviour,Force,,,,115402353,,2023-12,52.633879,1738375,On or near Horsefair Street,-1.132821,,
anti-social-behaviour,Force,,,,115402468,,2023-12,52.636041,1738351,On or near East Gates,-1.133444,,
anti-social-behaviour,Force,,,,115402346,,2023-12,52.636041,1738351,On or near East Gates,-1.133444,,
